CustomerID,CustomerName,Gender,DOB,Email,Phone,Address
1,Courtney Harrell,Female,1955-08-21,bcollins@example.org,979.291.9791x33021,"18450 Hall Alley
Sarahfurt, WY 64513"
2,Alison Perez,Male,1986-06-20,william36@example.net,569.338.9457x1458,"USNS Davis
FPO AE 12484"
3,Brittany Bryant,Male,1965-10-17,christinecochran@example.com,(861)302-3329x2276,"708 Shelby Vista
East Adriennemouth, CA 86660"
4,Ethan Lee,Male,1948-11-30,teresa83@example.net,001-484-991-1163x2969,"279 Marcus Plaza
Crosstown, NC 54779"
5,Lisa Taylor,Male,1988-09-28,mariahthompson@example.org,001-708-501-7474x37355,"62964 Turner Rapid Apt. 213
East Megan, NV 94379"
6,Kimberly Thomas,Male,1971-03-19,donald44@example.net,824.985.2754x49395,"38579 Koch Springs Apt. 781
New Michael, OR 41799"
7,Mary Smith,Male,1982-10-21,jeffreymoore@example.net,001-783-913-5125x330,"1048 Perkins Squares Apt. 221
North Tylerburgh, VI 93496"
8,Kimberly Miller,Female,1947-07-28,stephensmegan@example.net,001-571-867-5794,"500 Dillon Loaf Suite 775
Christopherbury, UT 73133"
9,Lauren Jackson,Female,1962-12-08,martinezjessica@example.org,402-455-6065x372,"650 Gonzalez Camp Apt. 043
Port Kelly, MN 10156"
10,Darryl Cain,Female,1939-10-29,tflores@example.net,+1-546-620-8150,"05564 Jacob Cove Suite 039
New Rickystad, ID 22386"
11,George Willis,Male,2005-06-25,nicolefoster@example.net,789.701.4233,"1036 Jones Land
East Robertshire, UT 13664"
12,Dana Skinner,Male,1967-07-13,ilove@example.com,654.815.4069,"8712 Edwards Hollow
Lake Andreaville, IL 06553"
13,Kelly White,Female,1996-01-18,larsenjohn@example.org,(246)345-1075,"26542 Roy Ways
South Williambury, MT 25008"
14,Alyssa Bray,Male,1998-08-12,cortezpaula@example.org,817.947.9123x3938,"561 Leah Views Suite 592
South Taylorberg, UT 56108"
15,Dr. Daniel Fowler Jr.,Female,1955-04-13,daniel17@example.org,266.570.0424,"8912 Wilson Viaduct
Matthewsberg, ID 47155"
16,Adam Alexander,Female,1991-02-02,kjohnson@example.org,001-795-234-7728x443,"24769 Carter Fords
East Bryanberg, VI 87063"
17,Christopher Dunn,Female,1980-10-07,nicholas96@example.org,(501)560-5236x38838,"426 Farmer Hills Suite 808
Natalieview, OH 37820"
18,Janice Jenkins,Female,1954-12-12,cookmike@example.org,(839)548-9075,"42648 Alan Islands
New Johnberg, ME 47076"
19,Juan Peterson,Male,1993-12-28,mariomoore@example.com,001-971-304-4526,"4909 Berg Courts
South Samanthachester, MO 99088"
20,Lisa Edwards,Female,1951-02-15,estout@example.com,001-948-536-8751x031,"Unit 5014 Box 2949
DPO AA 41485"
21,Jeffrey Patterson,Male,1996-09-27,jennifer32@example.net,620.324.5294,"4000 Hart Avenue Suite 147
South Stacy, HI 52622"
22,Christina Hendricks,Female,1968-04-23,seangarcia@example.com,678-525-5694,"255 Sandra Key Apt. 819
Obrienbury, NV 63035"
23,Nicole Mcdonald,Female,1986-04-06,tommyhanna@example.net,248-768-5449,"6137 Robert Inlet Apt. 544
Sabrinaport, VI 54938"
24,Pamela Stephens,Female,1944-06-23,jonathon93@example.net,001-304-472-6387x354,"447 Dana Squares Apt. 330
East Carol, AS 78494"
25,Evan Lucas,Female,1990-04-03,huangdaniel@example.org,257-760-3278,"91397 Karen Gardens
Petermouth, UT 99950"
26,Ronald White,Female,1974-07-18,haleyjessica@example.org,3878330619,"9520 Joseph Stream Apt. 803
Lake Lisafurt, FM 27245"
27,Adam Nelson,Female,1941-08-28,mariesmith@example.org,(834)907-4952,"USS Hicks
FPO AP 71797"
28,Brittany Bishop,Male,1995-02-19,vsosa@example.org,429.798.4083x01518,"4541 Cynthia Forges
North Andre, MH 20632"
29,Matthew Knight,Male,2004-07-02,gregorymueller@example.net,+1-798-555-5419x33486,"1822 Farrell Fords Apt. 414
New Denisestad, MO 68896"
30,Bradley Smith,Female,2000-12-04,wgarcia@example.com,(993)946-6407,"PSC 6485, Box 1614
APO AP 65535"
